Neuron 1;Neuron 2;Nbr
AVAR;AVAL;5
AVJL;AVAL;2
DA01;AVAL;2
DA02;AVAL;2
DA04;AVAL;3
DA05;AVAL;1
DA06;AVAL;10
DA07;AVAL;2
DB06;AVAL;3
FLPL;AVAL;1
LUAL;AVAL;1
PVCL;AVAL;2
PVCR;AVAL;5
PVPL;AVAL;1
RIMR;AVAL;3
SABD;AVAL;4
SABVR;AVAL;1
SDQR;AVAL;1
URYDL;AVAL;1
URYVR;AVAL;1
VA01;AVAL;3
VA02;AVAL;4
VA03;AVAL;1
VA04;AVAL;1
VA05;AVAL;5
VA06;AVAL;6
VA07;AVAL;2
VA08;AVAL;10
VA09;AVAL;1
VA10;AVAL;1
VA11;AVAL;1
VB09;AVAL;5
AVAR;AVAL;2
AVAR;AVAL;1
AVBL;AVAL;6
AVBL;AVAL;1
AVBR;AVAL;1
AVBR;AVAL;5
AVBR;AVAL;1
AVDL;AVAL;1
AVDL;AVAL;1
AVDL;AVAL;12
AVDR;AVAL;3
AVDR;AVAL;13
AVEL;AVAL;2
AVEL;AVAL;10
AVER;AVAL;2
AVER;AVAL;5
AVHL;AVAL;1
AVJR;AVAL;1
AWCL;AVAL;1
BAGR;AVAL;1
BAGR;AVAL;1
BDUR;AVAL;3
DA01;AVAL;1
DA01;AVAL;1
DA02;AVAL;1
DA02;AVAL;1
DA03;AVAL;1
DA03;AVAL;5
DA04;AVAL;1
DA04;AVAL;6
DA05;AVAL;2
DA05;AVAL;5
DA06;AVAL;11
DA07;AVAL;2
DA08;AVAL;4
DA09;AVAL;2
DA09;AVAL;1
DB05;AVAL;1
DB05;AVAL;1
DB06;AVAL;1
DVA;AVAL;3
DVC;AVAL;5
FLPL;AVAL;4
FLPL;AVAL;10
FLPR;AVAL;2
FLPR;AVAL;10
LUAL;AVAL;1
LUAL;AVAL;5
LUAR;AVAL;3
PHBL;AVAL;9
PHBR;AVAL;7
PHCL;AVAL;1
PLMR;AVAL;1
PLMR;AVAL;3
PQR;AVAL;3
PQR;AVAL;5
PVCL;AVAL;3
PVCL;AVAL;7
PVCL;AVAL;1
PVCL;AVAL;1
PVCR;AVAL;2
PVCR;AVAL;4
PVCR;AVAL;2
PVCR;AVAL;5
PVDL;AVAL;6
PVDR;AVAL;6
PVNL;AVAL;2
PVNR;AVAL;2
PVNR;AVAL;2
PVPL;AVAL;1
PVPL;AVAL;1
PVPR;AVAL;1
RIBL;AVAL;1
RIBL;AVAL;1
RICL;AVAL;5
RICR;AVAL;5
RIML;AVAL;1
RIMR;AVAL;2
RMGL;AVAL;1
SAADL;AVAL;6
SAAVL;AVAL;1
SAAVL;AVAL;16
SDQL;AVAL;1
SDQL;AVAL;1
SDQR;AVAL;2
SMBDR;AVAL;1
URYVR;AVAL;1
VA02;AVAL;1
VA02;AVAL;1
VA03;AVAL;2
VA04;AVAL;2
VA05;AVAL;3
VA06;AVAL;4
VA08;AVAL;6
VA08;AVAL;3
VA09;AVAL;7
VA10;AVAL;5
VA11;AVAL;6
VA12;AVAL;2
VD06;AVAL;1
ADAL;AVAR;2
ADEL;AVAR;3
ADER;AVAR;1
ADER;AVAR;1
ADLL;AVAR;3
ADLR;AVAR;2
AIBR;AVAR;1
AQR;AVAR;1
AQR;AVAR;2
AS01;AVAR;1
AS02;AVAR;1
AS02;AVAR;1
AS03;AVAR;1
AS04;AVAR;1
AS05;AVAR;1
AS06;AVAR;2
AS07;AVAR;3
AS08;AVAR;5
AS08;AVAR;1
AS09;AVAR;3
AS09;AVAR;2
AS09;AVAR;1
AS10;AVAR;1
AS11;AVAR;6
ASHR;AVAR;1
ASHR;AVAR;4
AUAR;AVAR;1
AVAL;AVAR;1
AVAL;AVAR;2
AS01;AVAR;2
AS03;AVAR;1
AS05;AVAR;1
AS06;AVAR;1
AS07;AVAR;5
AS08;AVAR;3
AS09;AVAR;1
AS10;AVAR;1
AVAL;AVAR;5
DA01;AVAR;6
DA02;AVAR;2
DA03;AVAR;2
DA04;AVAR;2
DA05;AVAR;5
DA06;AVAR;2
DA08;AVAR;1
DB05;AVAR;2
PVCR;AVAR;3
RIML;AVAR;2
RIMR;AVAR;1
SABVL;AVAR;3
SABVR;AVAR;1
URYDR;AVAR;1
URYVL;AVAR;1
VA03;AVAR;2
VA04;AVAR;3
VA05;AVAR;3
VA06;AVAR;2
VA07;AVAR;4
VA08;AVAR;4
VA10;AVAR;1
VA11;AVAR;7
VA12;AVAR;1
VB09;AVAR;4
AVBL;AVAR;1
AVBL;AVAR;5
AVBL;AVAR;2
AVBR;AVAR;5
AVBR;AVAR;2
AVDL;AVAR;1
AVDL;AVAR;2
AVDL;AVAR;17
AVDR;AVAR;2
AVDR;AVAR;1
AVDR;AVAR;14
AVEL;AVAR;2
AVEL;AVAR;4
AVEL;AVAR;3
AVER;AVAR;2
AVER;AVAR;16
AVG;AVAR;1
AVG;AVAR;2
AVJL;AVAR;1
AVJR;AVAR;1
BAGL;AVAR;1
BAGL;AVAR;1
DA01;AVAR;1
DA01;AVAR;1
DA02;AVAR;2
DA03;AVAR;1
DA03;AVAR;2
DA04;AVAR;2
DA04;AVAR;4
DA05;AVAR;2
DA06;AVAR;2
DA06;AVAR;9
DA07;AVAR;3
DA08;AVAR;1
DA08;AVAR;7
DA09;AVAR;2
DB03;AVAR;1
DB05;AVAR;1
DB06;AVAR;2
DB06;AVAR;3
DVA;AVAR;1
DVC;AVAR;7
FLPL;AVAR;17
FLPR;AVAR;5
LUAL;AVAR;1
LUAL;AVAR;1
LUAL;AVAR;5
LUAR;AVAR;3
LUAR;AVAR;7
PDEL;AVAR;1
PDER;AVAR;1
PHBL;AVAR;6
PHBR;AVAR;7
PLMR;AVAR;1
PQR;AVAR;2
PQR;AVAR;9
PVCL;AVAR;2
PVCL;AVAR;5
PVCL;AVAR;4
PVCR;AVAR;5
PVCR;AVAR;7
PVDL;AVAR;6
PVDR;AVAR;9
PVPL;AVAR;1
PVPL;AVAR;1
PVPR;AVAR;2
PVWR;AVAR;1
RIBR;AVAR;2
RICL;AVAR;6
RICR;AVAR;5
RIGL;AVAR;1
RMGR;AVAR;1
SAADR;AVAR;3
SAAVR;AVAR;4
SAAVR;AVAR;9
SABD;AVAR;1
SABVL;AVAR;1
SABVL;AVAR;2
SDQL;AVAR;3
SMBDL;AVAR;1
VA02;AVAR;1
VA02;AVAR;1
VA03;AVAR;1
VA03;AVAR;4
VA04;AVAR;2
VA05;AVAR;1
VA06;AVAR;3
VA08;AVAR;9
VA08;AVAR;3
VA09;AVAR;4
VA09;AVAR;2
VA10;AVAR;4
VA11;AVAR;8
VD05;AVAR;1
VD11;AVAR;2
VD13;AVAR;2
VD13;AVAR;2
ADAL;AVBL;4
ADAR;AVBL;1
ADAR;AVBL;1
ADLL;AVBL;2
ADLL;AVBL;2
ADLR;AVBL;1
AIBL;AVBL;1
AIBL;AVBL;4
AQR;AVBL;1
AQR;AVBL;2
AS03;AVBL;1
AS04;AVBL;1
AS05;AVBL;1
AS06;AVBL;1
AS09;AVBL;1
AS10;AVBL;1
ASHL;AVBL;6
AVAL;AVBL;6
AVAL;AVBL;1
AVAR;AVBL;5
AVAR;AVBL;2
AVAR;AVBL;1
AQR;AVBL;1
AS07;AVBL;2
AVBR;AVBL;3
DB03;AVBL;1
DB04;AVBL;1
DB05;AVBL;1
DB06;AVBL;2
DB07;AVBL;2
DVA;AVBL;1
RIBL;AVBL;1
RIBR;AVBL;1
RID;AVBL;1
SDQR;AVBL;1
SIBVL;AVBL;1
VB01;AVBL;1
VB02;AVBL;3
VB04;AVBL;1
VB05;AVBL;1
VB06;AVBL;1
VB07;AVBL;2
VB08;AVBL;7
VB09;AVBL;1
VB10;AVBL;2
VB11;AVBL;2
AVBR;AVBL;1
AVBR;AVBL;1
AVDL;AVBL;1
AVDR;AVBL;2
AVDR;AVBL;1
AVEL;AVBL;1
AVER;AVBL;2
AVFL;AVBL;1
AVFR;AVBL;1
AVG;AVBL;1
AVG;AVBL;1
AVHL;AVBL;1
AVHR;AVBL;2
AVJL;AVBL;1
AVJR;AVBL;1
AVJR;AVBL;2
AVKL;AVBL;1
AVL;AVBL;1
AVM;AVBL;6
AWBL;AVBL;1
DVA;AVBL;1
DVC;AVBL;1
FLPL;AVBL;1
FLPL;AVBL;3
FLPR;AVBL;5
PVCL;AVBL;5
PVCR;AVBL;2
PVCR;AVBL;6
PVNR;AVBL;1
PVNR;AVBL;1
PVPL;AVBL;2
PVPL;AVBL;3
PVPR;AVBL;4
PVQR;AVBL;1
PVR;AVBL;4
RIFL;AVBL;10
RIFR;AVBL;1
RIML;AVBL;2
RIMR;AVBL;2
SDQR;AVBL;2
SDQR;AVBL;4
URBL;AVBL;1
URXL;AVBL;1
URXR;AVBL;1
VA02;AVBL;1
VA07;AVBL;1
VA10;AVBL;1
VB02;AVBL;1
VC03;AVBL;1
VC04;AVBL;1
ADAL;AVBR;2
ADAL;AVBR;5
ADAR;AVBR;5
ADLR;AVBR;2
AIBR;AVBR;3
AIML;AVBR;2
AQR;AVBR;4
AS01;AVBR;1
AS03;AVBR;1
AS04;AVBR;1
AS05;AVBR;1
AS06;AVBR;1
AS07;AVBR;1
AS10;AVBR;1
ASHR;AVBR;3
AVAL;AVBR;5
AVAL;AVBR;1
AVAL;AVBR;1
AVAR;AVBR;5
AVAR;AVBR;2
AVBL;AVBR;1
AVBL;AVBR;1
AS06;AVBR;1
AS07;AVBR;2
AVBL;AVBR;3
DB01;AVBR;3
DB02;AVBR;1
DB03;AVBR;1
DB04;AVBR;1
DB05;AVBR;1
DB06;AVBR;1
DB07;AVBR;1
DD01;AVBR;1
DVA;AVBR;1
PVNL;AVBR;2
RIBL;AVBR;1
RIBR;AVBR;1
RID;AVBR;2
SIBVL;AVBR;1
VA08;AVBR;1
VA09;AVBR;1
VB02;AVBR;1
VB03;AVBR;1
VB04;AVBR;1
VB06;AVBR;2
VB07;AVBR;2
VB08;AVBR;3
VB09;AVBR;6
VB10;AVBR;1
VB11;AVBR;1
VD10;AVBR;1
AVFL;AVBR;2
AVFR;AVBR;3
AVFR;AVBR;2
AVG;AVBR;2
AVHL;AVBR;1
AVHR;AVBR;1
AVJL;AVBR;4
AVJR;AVBR;1
AVM;AVBR;2
AVM;AVBR;4
AWBR;AVBR;2
DA05;AVBR;1
FLPL;AVBR;1
FLPL;AVBR;4
FLPR;AVBR;1
HSNR;AVBR;1
PVCL;AVBR;1
PVCL;AVBR;11
PVCR;AVBR;6
PVNL;AVBR;1
PVNR;AVBR;2
PVPL;AVBR;6
PVPR;AVBR;5
PVR;AVBR;4
RIBL;AVBR;1
RIFL;AVBR;1
RIFR;AVBR;3
RIFR;AVBR;14
RIML;AVBR;3
RIMR;AVBR;1
RIMR;AVBR;4
RMGL;AVBR;2
RMGR;AVBR;1
SDQR;AVBR;4
URBR;AVBR;1
URXR;AVBR;2
URYVL;AVBR;1
VA04;AVBR;1
VA09;AVBR;1
VD03;AVBR;1
ADAL;AVDL;1
ADLL;AVDL;1
ADLR;AVDL;1
ADLR;AVDL;4
AIML;AVDL;1
AQR;AVDL;1
AS01;AVDL;1
AS04;AVDL;1
AS05;AVDL;1
AS10;AVDL;1
AS11;AVDL;2
ASHL;AVDL;2
ASHR;AVDL;1
ASHR;AVDL;4
AVAL;AVDL;1
AVAL;AVDL;12
AVAL;AVDL;1
AVAR;AVDL;2
AVAR;AVDL;17
AVAR;AVDL;1
AVBL;AVDL;1
ADAR;AVDL;2
AVM;AVDL;2
FLPL;AVDL;1
FLPR;AVDL;1
AVDR;AVDL;2
AVHL;AVDL;1
AVJL;AVDL;1
AVJR;AVDL;1
DA01;AVDL;1
DA02;AVDL;1
DA03;AVDL;4
DA04;AVDL;1
DA04;AVDL;1
DA05;AVDL;1
DA08;AVDL;1
FLPL;AVDL;6
FLPR;AVDL;2
FLPR;AVDL;8
LUAL;AVDL;1
LUAL;AVDL;4
LUAR;AVDL;1
PHBL;AVDL;1
PHBR;AVDL;1
PLMR;AVDL;1
PQR;AVDL;7
PVCL;AVDL;1
PVCL;AVDL;5
PVCR;AVDL;5
PVNL;AVDL;3
RMGR;AVDL;1
SABD;AVDL;1
SABD;AVDL;1
SABVL;AVDL;1
SABVR;AVDL;1
VA04;AVDL;1
VA05;AVDL;1
VA05;AVDL;1
ADER;AVDR;2
ADLL;AVDR;4
ADLR;AVDR;2
AIML;AVDR;1
AIMR;AVDR;1
ALML;AVDR;1
AQR;AVDR;1
AS05;AVDR;1
AS10;AVDR;1
ASHL;AVDR;2
ASHL;AVDR;2
ASHR;AVDR;1
AUAL;AVDR;1
AVAL;AVDR;3
AVAL;AVDR;13
AVAR;AVDR;1
AVAR;AVDR;14
AVAR;AVDR;2
AVBL;AVDR;1
AVBL;AVDR;2
AVDL;AVDR;2
ADAL;AVDR;2
ADLL;AVDR;1
AVJL;AVDR;2
FLPR;AVDR;1
AVER;AVDR;1
AVG;AVDR;1
AVHR;AVDR;1
AVJR;AVDR;1
AVJR;AVDR;2
DA01;AVDR;2
DA02;AVDR;1
DA03;AVDR;1
DA03;AVDR;1
DA04;AVDR;1
DA04;AVDR;1
DA05;AVDR;2
DA08;AVDR;1
DA09;AVDR;1
DB04;AVDR;1
DVC;AVDR;1
FLPL;AVDR;13
FLPR;AVDR;1
HSNL;AVDR;2
HSNR;AVDR;1
LUAL;AVDR;2
LUAL;AVDR;2
LUAR;AVDR;3
PHAL;AVDR;1
PHBR;AVDR;1
PLMR;AVDR;4
PQR;AVDR;1
PQR;AVDR;6
PVCL;AVDR;2
PVCR;AVDR;1
PVNL;AVDR;3
PVNR;AVDR;1
PVPL;AVDR;2
PVWR;AVDR;1
RIBL;AVDR;1
SABD;AVDR;1
SABVL;AVDR;3
SABVR;AVDR;1
VA02;AVDR;1
VA03;AVDR;2
VA06;AVDR;1
VA11;AVDR;1
ADAL;AVEL;1
ADAR;AVEL;1
ADEL;AVEL;1
AIBR;AVEL;1
AIZR;AVEL;4
ALA;AVEL;2
ALML;AVEL;1
AS01;AVEL;1
AUAL;AVEL;3
AVAL;AVEL;2
AVAL;AVEL;10
AVAR;AVEL;4
AVAR;AVEL;3
AVAR;AVEL;2
AVBL;AVEL;1
AVER;AVEL;1
RIML;AVEL;2
RIMR;AVEL;3
RMDVR;AVEL;1
RMEV;AVEL;1
AVG;AVEL;1
AVJL;AVEL;1
AVKL;AVEL;2
AVL;AVEL;1
BAGL;AVEL;1
BAGR;AVEL;2
BAGR;AVEL;2
CEPDR;AVEL;6
CEPVR;AVEL;1
CEPVR;AVEL;4
DA01;AVEL;5
DA02;AVEL;1
DA03;AVEL;1
DA03;AVEL;2
DA04;AVEL;1
DVA;AVEL;3
DVA;AVEL;6
FLPR;AVEL;4
IL1R;AVEL;1
IL2L;AVEL;1
OLLR;AVEL;1
OLLR;AVEL;15
PVCL;AVEL;2
PVCR;AVEL;1
PVCR;AVEL;1
PVNL;AVEL;1
PVNR;AVEL;2
PVNR;AVEL;1
PVT;AVEL;1
RIBL;AVEL;1
RIBL;AVEL;1
RIBR;AVEL;2
RIBR;AVEL;1
RIGL;AVEL;1
RIGL;AVEL;1
RIS;AVEL;7
RMGL;AVEL;2
SABD;AVEL;6
SABVL;AVEL;7
SABVR;AVEL;3
SDQL;AVEL;1
URXL;AVEL;3
URXL;AVEL;1
URYDR;AVEL;2
URYVR;AVEL;6
VA01;AVEL;5
VA03;AVEL;1
VA03;AVEL;2
VD02;AVEL;1
VD03;AVEL;1
ADER;AVER;1
AIML;AVER;1
AIZL;AVER;5
AIZR;AVER;1
AIZR;AVER;1
ALA;AVER;1
ALA;AVER;1
AS01;AVER;1
AS01;AVER;2
AS02;AVER;2
AS03;AVER;1
ASHR;AVER;3
AUAR;AVER;1
AUAR;AVER;3
AVAL;AVER;2
AVAL;AVER;5
AVAR;AVER;16
AVAR;AVER;2
AVBL;AVER;2
AVDR;AVER;1
AVEL;AVER;1
RIML;AVER;3
RIMR;AVER;2
RMDVL;AVER;1
RMDVR;AVER;1
RMEV;AVER;1
AVG;AVER;1
AVJR;AVER;1
AVJR;AVER;2
AVKL;AVER;1
BAGL;AVER;1
BAGL;AVER;3
CEPDL;AVER;1
CEPDL;AVER;4
CEPVL;AVER;1
CEPVL;AVER;2
DA01;AVER;5
DA02;AVER;1
DA02;AVER;2
DA03;AVER;1
DB03;AVER;1
DVA;AVER;2
DVA;AVER;3
FLPR;AVER;2
IL1L;AVER;2
IL1R;AVER;1
OLLL;AVER;3
OLLL;AVER;18
PVCL;AVER;1
PVCR;AVER;1
PVPL;AVER;1
RIBL;AVER;3
RIBL;AVER;2
RIBR;AVER;1
RIBR;AVER;1
RIGL;AVER;1
RIGR;AVER;2
RIS;AVER;7
RMGR;AVER;3
SABD;AVER;2
SABVL;AVER;3
SABVR;AVER;3
URXR;AVER;2
URYDL;AVER;2
URYDR;AVER;2
URYVL;AVER;5
VA01;AVER;1
VA02;AVER;1
VA03;AVER;2
VA04;AVER;1
VA05;AVER;1
AIML;AVFL;1
AIML;AVFL;3
AIMR;AVFL;1
AIMR;AVFL;1
AVBL;AVFL;1
AVBR;AVFL;2
AVFR;AVFL;23
AVHL;AVFL;2
AVHR;AVFL;3
PVQR;AVFL;1
AVFR;AVFL;1
AVFR;AVFL;6
AVFR;AVFL;1
AVG;AVFL;1
AVG;AVFL;1
AVG;AVFL;1
AVHL;AVFL;2
AVHL;AVFL;1
AVHR;AVFL;3
AVHR;AVFL;1
AVHR;AVFL;2
AVJL;AVFL;1
AVJR;AVFL;1
AVL;AVFL;1
HSNL;AVFL;1
HSNL;AVFL;1
HSNL;AVFL;5
HSNR;AVFL;1
HSNR;AVFL;1
PDER;AVFL;1
PHAL;AVFL;3
PHBR;AVFL;1
PVNL;AVFL;2
PVQL;AVFL;1
PVQR;AVFL;1
RIFR;AVFL;1
VB01;AVFL;1
VB01;AVFL;0
VC05;AVFL;1
AIML;AVFR;1
AIMR;AVFR;1
AIMR;AVFR;1
ASJL;AVFR;1
ASKL;AVFR;1
AVBL;AVFR;1
AVBR;AVFR;3
AVBR;AVFR;2
avfl;avfr;1
AVFL;AVFR;1
AVFL;AVFR;6
AVFL;AVFR;23
AVHL;AVFR;2
AVHR;AVFR;1
VC04;AVFR;1
AVHL;AVFR;2
AVHL;AVFR;3
AVHR;AVFR;1
AVHR;AVFR;1
AVJL;AVFR;2
AVJL;AVFR;1
AVJR;AVFR;1
AVL;AVFR;1
HSNR;AVFR;1
PVNL;AVFR;1
PVQL;AVFR;1
PVQR;AVFR;1
VC05;AVFR;1
VD11;AVFR;1
AVAR;AVG;1
AVAR;AVG;2
AVBL;AVG;1
AVBL;AVG;1
AVBR;AVG;2
AVDR;AVG;1
AVEL;AVG;1
AVER;AVG;1
AVFL;AVG;1
AVFL;AVG;1
AVFL;AVG;1
RIFL;AVG;1
RIFR;AVG;1
AVJL;AVG;1
AVL;AVG;1
DA08;AVG;1
PHAL;AVG;2
PHAL;AVG;1
PHAL;AVG;4
PHAR;AVG;1
PHAR;AVG;2
PQR;AVG;1
PVCL;AVG;1
PVNL;AVG;1
PVNR;AVG;1
PVNR;AVG;1
PVPR;AVG;1
PVQR;AVG;1
PVT;AVG;1
VA11;AVG;1
ADFR;AVHL;3
AIML;AVHL;2
AVAL;AVHL;1
AVBL;AVHL;1
AVBR;AVHL;1
AVDL;AVHL;1
AVFL;AVHL;1
AVFL;AVHL;2
AVFR;AVHL;3
AVFR;AVHL;2
AVFL;AVHL;2
AVFR;AVHL;2
AVHR;AVHL;1
PHBR;AVHL;1
AVHR;AVHL;1
AVHR;AVHL;1
AVJL;AVHL;2
AVJL;AVHL;1
AVJL;AVHL;2
AWBR;AVHL;1
BDUL;AVHL;1
BDUR;AVHL;1
PHAL;AVHL;1
PVPR;AVHL;2
PVPR;AVHL;3
PVQL;AVHL;1
PVQR;AVHL;2
RIFR;AVHL;1
RIMR;AVHL;1
RIR;AVHL;3
SMBDR;AVHL;1
SMBVR;AVHL;2
VD01;AVHL;1
ADLL;AVHR;1
ADLR;AVHR;2
AIML;AVHR;1
AQR;AVHR;2
AVBL;AVHR;2
AVBR;AVHR;1
AVDR;AVHR;1
AVFL;AVHR;2
AVFL;AVHR;3
AVFL;AVHR;1
AVFR;AVHR;1
AVFR;AVHR;1
AVHL;AVHR;1
AVHL;AVHR;1
AVFL;AVHR;3
AVFR;AVHR;1
AVHL;AVHR;1
AVJR;AVHR;4
PHAL;AVHR;1
PHAR;AVHR;1
PHCR;AVHR;1
PVNL;AVHR;1
PVPL;AVHR;3
PVPL;AVHR;1
RIFL;AVHR;1
RIGL;AVHR;1
RIR;AVHR;1
RIR;AVHR;3
SMBDL;AVHR;1
SMBVL;AVHR;1
VC04;AVHR;1
ADAR;AVJL;1
ADAR;AVJL;2
ADLL;AVJL;1
AIML;AVJL;1
AQR;AVJL;1
AVAR;AVJL;1
AVBL;AVJL;1
AVBR;AVJL;4
AVDL;AVJL;1
AVEL;AVJL;1
AVFL;AVJL;1
AVFR;AVJL;1
AVFR;AVJL;1
AVFR;AVJL;1
AVG;AVJL;1
AVHL;AVJL;2
AVHL;AVJL;2
AVHL;AVJL;1
AVAL;AVJL;2
AVDR;AVJL;2
AVJR;AVJL;4
PVCL;AVJL;1
PVCR;AVJL;3
RIS;AVJL;1
AVJR;AVJL;1
BDUR;AVJL;2
HSNL;AVJL;1
HSNL;AVJL;1
HSNR;AVJL;1
HSNR;AVJL;1
LUAL;AVJL;1
PLMR;AVJL;2
PVCL;AVJL;1
PVCL;AVJL;1
PVCL;AVJL;2
PVCR;AVJL;2
PVNL;AVJL;5
PVNR;AVJL;1
PVNR;AVJL;4
PVR;AVJL;1
PVR;AVJL;2
PVWL;AVJL;1
RIFR;AVJL;1
RIFR;AVJL;1
RIMR;AVJL;1
RIS;AVJL;1
RMGR;AVJL;1
ADAL;AVJR;5
ADER;AVJR;1
ADLL;AVJR;3
ADLR;AVJR;1
ADLR;AVJR;1
AVAL;AVJR;1
AVAR;AVJR;1
AVBL;AVJR;1
AVBL;AVJR;2
AVBR;AVJR;1
AVDL;AVJR;1
AVDR;AVJR;1
AVDR;AVJR;2
AVER;AVJR;1
AVER;AVJR;2
AVFL;AVJR;1
AVFR;AVJR;1
AVHR;AVJR;4
AVJL;AVJR;1
AVJL;AVJR;4
PVCL;AVJR;1
AVM;AVJR;1
BDUL;AVJR;1
FLPR;AVJR;1
LUAR;AVJR;1
PVCL;AVJR;2
PVCL;AVJR;1
PVCR;AVJR;1
PVCR;AVJR;3
PVNL;AVJR;2
PVNL;AVJR;3
PVNR;AVJR;1
PVQR;AVJR;1
PVR;AVJR;2
RIFL;AVJR;2
RIFR;AVJR;2
SABVL;AVJR;1
URXL;AVJR;1
ADER;AVKL;1
ADER;AVKL;1
AVBL;AVKL;1
AVEL;AVKL;2
AVER;AVKL;1
ADER;AVKL;1
AQR;AVKL;2
AVKR;AVKL;2
PVPL;AVKL;1
PVPR;AVKL;1
PVT;AVKL;2
RICL;AVKL;1
RICR;AVKL;1
RIGL;AVKL;1
SMBDL;AVKL;1
SMBDR;AVKL;1
SMBVR;AVKL;1
VB01;AVKL;4
VB10;AVKL;1
AVM;AVKL;1
DVA;AVKL;1
DVC;AVKL;2
PDEL;AVKL;2
PDEL;AVKL;1
PDEL;AVKL;1
PDEL;AVKL;5
PDER;AVKL;1
PDER;AVKL;16
PVM;AVKL;1
PVM;AVKL;7
PVM;AVKL;4
PVR;AVKL;1
PVT;AVKL;2
PVT;AVKL;5
RIGR;AVKL;4
RIML;AVKL;2
RIMR;AVKL;1
RIMR;AVKL;1
RIS;AVKL;1
RMDR;AVKL;1
RMFL;AVKL;4
RMFR;AVKL;1
RMFR;AVKL;3
SAADR;AVKL;1
SIAVR;AVKL;1
SMDDR;AVKL;1
ADER;AVKR;1
ADEL;AVKR;1
AQR;AVKR;1
AVKL;AVKR;2
PVPL;AVKR;6
RICL;AVKR;1
RIGR;AVKR;1
SMBDL;AVKR;1
SMBDR;AVKR;2
SMBVR;AVKR;1
BDUL;AVKR;1
DVC;AVKR;1
PVQL;AVKR;1
PVT;AVKR;7
RICL;AVKR;1
RIGL;AVKR;2
RIGR;AVKR;1
RIML;AVKR;2
RIMR;AVKR;2
RIS;AVKR;4
RMDR;AVKR;1
RMFL;AVKR;1
RMFL;AVKR;4
RMFR;AVKR;3
SAADL;AVKR;1
SMBDL;AVKR;1
SMDDL;AVKR;1
SMDDR;AVKR;2
ADEL;AVL;1
AVBL;AVL;1
AVEL;AVL;1
AVFL;AVL;1
AVFR;AVL;1
AVG;AVL;1
DVB;AVL;1
DVC;AVL;9
PVM;AVL;1
DA02;AVL;1
DD01;AVL;1
DD06;AVL;2
DVB;AVL;2
DVB;AVL;3
HSNR;AVL;1
HSNR;AVL;1
